,노래
247,  I’ll Still Have Me    오반  
248,  아무렇지 않게  안녕    뉴이스트 W  
249,  넌 내가 보고 싶지 않나 봐    비투비  
250,  사랑은 늘 도망가    임영웅  
251,  코 끝이 찡하게    차가을  
252,  혼자 사랑하고 미워해    백예슬  
253,  비 오는 날 듣기 좋은 노래  Feat. Colde     에픽하이  EPIK HIGH   
254,  Your Lights    이수  엠씨더맥스   
255,  너와 나 우리  Feat. ZELO of B.A.P     이예준  
256,  별이 쏟아지는 밤    려욱  RYEOWOOK   
257,  헤픈 우연    헤이즈  Heize   
258,  Falling    Harry Styles  
259,  High    5 Seconds of Summer  
260,  If the World Was Ending  feat. Julia Michaels   Feat. Julia Michaels     JP Saxe  
261,  그냥 안아달란 말야    다비치  
262,  2 soon    keshi  
263,  r u ok    Tate McRae  
264,  cheap sunglasses    John K  
265,  Rain    태연  TAEYEON   
266,  어떻게 이별까지 사랑하겠어  널 사랑하는 거지    AKMU  악뮤   
267,  기다릴게    하동균  
268,  사랑하기 싫어    봉구  
269,  Gone    영지  
270,  To Die For  Acoustic     로제  ROSÉ   
271,  Rosario  Feat. CL  ZICO     Sam Smith  
272,  rainy day    에픽하이  EPIK HIGH   
273,  LMM    휘성  Realslow   
274,  사랑 못해  남들 쉽게 다 하는 거    태일  블락비   
275,  멜로디    청하  
276,  사랑한단 거짓말은 안 할래    화사  Hwa Sa   
277,  함께 했는데 이별은 나 혼자인 거야    먼데이 키즈  Monday Kiz   
278,  X  걸어온 길에 꽃밭 따윈 없었죠     ASH ISLAND  
279,  그리워하면 그댈 만날까봐    먼데이 키즈  Monday Kiz   
280,  오월의 어느 봄날  Feat. 첸 CHEN      최현준  V.O.S   
281,  혼술하고 싶은 밤    이소정  
282,  가을밤에 든 생각    청하  
283,  사실 나는  Feat.전건호     김나영  
284,  널 사랑했던 한 사람    임한별  
285,  안녕과 안녕으로    벤  
286,  Daybreak  Minhyun&JR     잔나비  
287,  사랑은 지날수록 더욱 선명하게 남아    경서예지  
288,  처음이라서    펀치  Punch   
289,  Purpose  Stripped     이예준  
290,  안녕  오늘의 그대에게    뉴이스트  
291,  Like Strangers Do    전상근  
