,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
320,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태),에디킴,5,,,,,,,,,,
321,빨래,이적,5,,,,,,,,,,
322,Heaven,조권,5,,,,,,,,,,
323,이별 못한 이별,지선,5,,,,,,,,,,
324,Steal Away (주인공),박지윤,5,,,,,,,,,,
325,널 너무 모르고,헤이즈 (Heize),5,,,,,,,,,,
326,해요,INO,5,,,,,,,,,,
327,이 별,길구봉구,5,,,,,,,,,,
328,나이젠,V.O.S,5,,,,,,,,,,
329,너로 짙은 밤 (With 한올),새봄 (saevom),5,,,,,,,,,,
330,고별 II,해나,5,,,,,,,,,,
331,그림자,휘인 (Whee In),5,,,,,,,,,,
332,꼭 너여야 해,봉구,5,,,,,,,,,,
333,외로운 사람들,솔라 (마마무),5,,,,,,,,,,
334,편지,폴킴,5,,,,,,,,,,
335,오늘도 그리워 그리워,다비치,5,,,,,,,,,,
336,악역,박재정,5,,,,,,,,,,
337,너의 밤은 어때,그_냥,5,,,,,,,,,,
338,"내 방, 내 맘",전상근,5,,,,,,,,,,
339,그리워하다,비투비,5,,,,,,,,,,
340,그 와중에,2BIC(투빅),5,,,,,,,,,,
341,시력,박재정,5,,,,,,,,,,
342,횡단보도,조권,5,,,,,,,,,,
343,봄날의 소나기 (Paper Umbrella),예성 (YESUNG),5,,,,,,,,,,
344,비가,S.E.S.,5,,,,,,,,,,
345,봉봉 오 쇼콜라 II,Various Artists,5,,,,,,,,,,
346,미워요,정인,5,,,,,,,,,,
347,서른 밤째 (With 한올),새봄 (saevom),5,,,,,,,,,,
348,어떤가요,노을,5,,,,,,,,,,
349,마침표,아이유,5,,,,,,,,,,
350,빌려줄게,신용재 (2F),5,,,,,,,,,,
351,Easy (Music From The Motion Picture Baby Driver),Sky Ferreira,5,,,,,,,,,,
352,오르막길,"정인, 윤종신",5,,,,,,,,,,
353,나의 사춘기에게,볼빨간사춘기,5,,,,,,,,,,
354,오래된 노래,김동률,5,,,,,,,,,,
355,Wild Horses,Birdy,5,,,,,,,,,,
356,그렇게 됐어,플라이 투 더 스카이,5,,,,,,,,,,
357,all of my life,박원,5,,,,,,,,,,
358,있다면,뉴이스트 W,5,,,,,,,,,,
359,장마,정인,5,,,,,,,,,,
360,좋니,윤종신,5,,,,,,,,,,
361,Homesick,Dua Lipa,5,,,,,,,,,,
