노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('Theme Tango Bandoneon Final', '방준석')",0,0,1,5,0,0,0,1,0,5,1
"('그림자', '진실')",0,0,0,5,1,0,0,1,1,3,4
"('I Am', '잉키')",1,0,0,5,0,0,0,1,0,2,0
"('주어진 단서', '정중한')",1,1,4,7,0,1,0,1,0,1,1
"(""I Can't Get You Off My Mind"", 'Miss Li')",0,0,0,5,0,0,0,0,0,0,0
"('Chase', '난아진')",5,0,0,5,0,0,0,0,0,1,0
"('자각몽 (Feat. 올티)', '김윤아')",1,0,1,5,0,0,2,2,0,4,6
"('Endless Night', '김태성')",0,0,0,5,0,0,0,0,0,0,0
"('세상 밖으로', '최정인')",3,1,1,6,0,0,0,0,1,1,6
"('City Of Time (Feat. 영지)', '잉키')",0,0,0,5,0,0,0,0,0,0,0
"('It Could Be You (Feat. 일레인)', '마리오')",3,1,3,6,0,1,0,1,0,7,2
"('Dear', '정중한')",4,1,0,6,0,0,0,1,0,3,1
"('DAYS and MOONS', 'Mad Soul Child')",0,0,0,5,0,0,1,1,0,0,0
"('Rush', 'Elsa Kopf')",7,0,2,5,0,0,0,0,0,3,0
"('떠나야 할 그 사람', '에브리 싱글 데이')",0,0,1,5,0,0,0,0,0,4,1
"('시린꽃 (Original Ver.)', '잉키')",3,0,0,5,0,2,0,1,0,1,0
"('Was Justice Delivered', 'Booth')",1,0,1,5,0,0,0,1,1,0,4
"('아무도 믿지 말 것', '노형우')",0,0,3,5,0,0,0,0,0,0,0
"('STAY', '정중한')",9,3,0,6,1,2,1,3,3,3,1
"('eclipse (이클립스)', 'Steelheart')",4,0,4,5,0,0,0,2,0,0,2
"('This Is The Beginning', 'Patrick Joseph')",4,0,12,5,0,0,0,1,0,6,1
"('Superbad (11:34)', 'Marco Beltrami')",7,0,4,6,0,1,0,0,0,0,0
"('비극 3 (진실)', 'Travie McCoy')",2,1,1,6,0,1,0,0,0,1,0
"('돌이킬 수 없는 걸음', '이병우')",3,0,3,5,0,0,0,1,1,0,0
"('어느 날 (Duet With 김윤아)', '이적')",1,0,0,0,5,1,0,0,0,1,1
"('Ovum', '레이니 썬')",3,0,0,0,5,0,1,1,0,2,1
"('이상한 얘기 (Daytripper)', '하키')",0,0,0,0,5,0,0,4,0,4,1
"('New 욕', '자우림')",1,1,16,0,6,0,0,0,4,0,10
"('우린 결국 그렇게 (Feat. Seori)', '기리보이')",0,0,3,1,5,0,1,3,0,3,2
"('버려진 것들', '스웨덴세탁소')",1,0,0,1,5,0,0,2,0,1,0
"('길 잃은 강아지', '아이유')",2,0,2,0,5,0,1,2,1,0,0
"('전 여자친구에게 (Feat. 선우정아)', 'San E')",0,0,1,0,5,0,0,2,0,1,0
"('행복합니다 (Feat. 김종완 Of Nell)', '에픽하이 (EPIK HIGH)')",0,0,0,0,5,0,0,0,1,1,0
"('요단강', '네스티요나')",1,1,2,1,7,1,0,8,1,3,2
"('Plastic Flower (상사병)', '박정현')",0,0,0,1,5,0,0,1,0,0,0
"('탈진', '황보령')",1,0,1,0,5,0,1,0,0,0,1
"('잔혹동화', '아이유')",0,1,1,5,5,0,0,8,1,0,0
"('괴물', 'PPCX (피터팬컴플렉스)')",0,0,0,0,5,0,0,4,0,0,1
"('늪', '조관우')",0,0,0,0,5,0,0,10,0,3,0
"('암실', '쏜애플 (THORNAPPLE)')",0,0,0,1,5,0,0,6,1,3,4
"('뱀', '키치레코드')",3,1,4,4,5,1,0,0,0,2,0
"('Act 5', '넬 (NELL)')",2,0,2,0,5,0,0,0,0,0,1
"('교실이데아', '서태지')",3,0,1,0,5,0,1,0,0,6,0
"('령혼', '양파')",4,0,0,1,5,0,0,1,1,3,0
"('오르골 (Orgel)', 'SHINee (샤이니)')",0,0,0,0,5,0,0,3,0,3,3
"('새', '자우림')",0,0,6,0,8,1,0,0,0,2,0
"('Paradise Lost', '가인')",1,1,2,0,5,0,2,3,0,3,0
"('하비샴의 왈츠 (Miss Havishams Waltz)', '박정현')",0,0,0,4,5,0,0,11,0,2,0
"('Dracula', 'f(x)')",1,0,1,0,5,0,0,1,0,3,0
"('미친거니 (Feat. 방용국)', '송지은')",3,0,0,0,5,0,0,3,0,0,0
"('낙화(落花)', '자우림')",2,1,0,0,5,0,0,3,1,2,2
"('피해망상 Pt. 1 (Feat. Junggigo)', '에픽하이 (EPIK HIGH)')",0,0,0,0,5,0,0,0,0,1,1
"('음탕한 계집', '정차식')",1,0,1,1,6,0,0,0,0,1,1
"('저주인형', 'VIXX (빅스)')",1,0,0,0,5,0,0,2,3,0,2
"('미궁', '황병기')",0,0,0,0,5,0,0,0,0,1,0
"('Six Feet Under', 'Billie Eilish')",1,0,1,0,0,6,0,3,1,5,2
"('Your Eyes', '선우정아')",0,0,1,1,0,8,0,1,3,3,0
"('괴물이 되어가는 사람들', '하근영')",2,0,5,2,0,5,0,1,0,3,0
"('Somewhere (Memory Ver.)', '김예솔')",0,0,2,3,0,5,0,1,0,12,1
"('T-KT', '하진 (HAJIN)')",2,0,3,0,0,5,0,2,0,2,2
"('Empty', 'Sawano Hiroyuki')",5,0,5,1,0,5,0,9,1,9,7
"('슬픈 끝맺음', '카더가든')",9,0,1,0,0,5,0,3,0,0,0
"(""Don't Bring Me Down"", '남혜승')",6,0,1,0,0,5,1,1,0,9,1
"('Castle', '박상희')",0,0,0,0,0,5,0,1,0,6,2
"('Lullaby', '일레인')",3,3,5,3,5,5,0,8,0,6,1
"('빨간 하늘', 'Halsey')",2,0,2,0,2,5,0,2,2,1,4
"('The Love', '너드커넥션 (Nerd Connection)')",4,0,1,2,0,5,3,1,0,0,1
"('Somewhere', '임승범')",1,2,1,0,3,9,0,1,0,7,0
"('Set Me Free', '호피폴라')",2,3,1,0,3,5,0,4,0,9,2
"('IDK', '오존 (O3ohn)')",0,0,1,0,2,5,0,7,0,15,2
"('Lost Time', '가인')",1,0,4,0,1,5,0,3,0,8,1
"('RescuE', 'MOSSS')",5,0,4,0,0,5,1,17,0,4,4
"(""Michael's Sword"", '개미')",3,0,2,4,0,5,0,10,0,4,2
"('In the whale', '온유 (ONEW)')",0,0,0,0,0,0,5,3,0,1,6
"('시계초침 (Feat. BRWN, Huiii)', 'SUDI')",1,0,0,0,0,0,5,1,0,7,0
"(""So Long (Feat. I'll)"", 'THAMA')",0,0,0,0,0,0,5,0,0,0,0
"('흔적기관 (痕跡器管)', '김뮤지엄 (KIMMUSEUM)')",2,0,2,0,1,0,5,0,0,0,0
"('친구 사이', 'JEMN')",0,0,0,0,0,0,5,0,0,0,0
"('PILLOW', 'DOKO (도코)')",6,1,2,1,1,0,5,3,2,5,1
"('Love Phobia', 'Wynn (윈)')",1,0,1,0,0,0,5,0,0,0,0
"('그걸로도 충분해요 (Feat. 수안)', '온유 (ONEW)')",1,0,0,2,0,0,5,0,0,3,0
