,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
311,A-Ha,아이비,0,0,0,0,0,0,0,5,0,0,0
312,Sweet & Easy,원더걸스,0,0,0,0,0,0,0,5,0,0,0
313,집에 안갈래 (Feat. 긱스),나비 (Navi),0,0,0,0,0,0,0,5,0,0,0
314,U & Me (Feat. JINBO),SUMIN (수민),0,0,0,0,0,0,0,5,0,0,0
315,Like This (Feat. SOMA),리코 (Rico),0,0,0,0,0,0,0,5,0,0,0
316,Tattoo (Feat. 박재범),ELO,0,0,0,0,0,0,0,5,0,0,0
317,Melt (Feat. Colde),ELO,0,0,0,0,0,0,0,5,0,0,0
318,TOUCH MY BODY,샘김 (Sam Kim),0,0,0,0,0,0,0,5,0,0,0
319,"Downtown Love (Feat. 매드클라운, 웨일)",주영,1,0,3,1,0,0,0,7,0,15,2
320,Planet Girl (Feat. pH-1),주영,0,0,4,0,0,0,1,7,0,1,0
321,Moonlight,나비 (Navi),0,0,0,0,0,0,0,5,3,3,3
322,Lily (Feat. 로운 of SF9),AOA,2,0,0,0,0,0,0,6,0,16,0
323,단둘이,AOA,2,0,0,6,0,0,1,10,0,15,1
324,Chocolate Legs,Eric Benet,0,0,0,0,0,0,0,5,0,0,0
325,Stupid (With SugarFlow),HUS (허밍어반스테레오),0,1,1,0,0,0,1,5,0,4,2
326,Body Party,Ciara,0,0,0,0,0,0,0,5,0,0,0
327,들어와,"허가윤 (4minute), 현아",0,0,1,1,0,0,0,7,0,1,0
328,전화기를 꺼놔 Remix (Feat. ELO),박재범,1,0,3,2,1,0,2,5,3,3,0
329,Moderato (Feat. Hash Swan),마마무 (Mamamoo),0,0,3,0,0,0,0,5,4,7,7
330,잼잼,아이유,0,0,0,0,0,0,0,8,0,0,2
331,손만 잡고 자자 (TURN OFF THE LIGHT) (MINO SOLO),WINNER,2,1,0,0,0,0,0,6,0,1,0
332,예쁜 아가씨,신혜성,0,0,2,0,0,0,0,13,0,7,5
333,하나 더 (One More),피에스타,11,0,0,0,0,0,0,8,0,0,4
334,MOVE,태민 (TAEMIN),7,0,1,1,0,0,1,10,2,7,2
335,후아힌 (Feat. 강민희 Of 미스에스),CSP,1,0,0,0,0,0,0,5,0,2,0
336,찰리채플린,블락비 바스타즈,4,0,3,0,0,0,0,5,0,9,2
337,Six Feet Under,Billie Eilish,1,0,1,0,0,1,0,3,6,5,2
338,Your Eyes,선우정아,0,0,1,1,0,3,0,1,8,3,0
339,괴물이 되어가는 사람들,"하근영, 김예솔",2,0,5,2,0,0,0,1,5,3,0
340,Somewhere (Memory Ver.),하진 (HAJIN),0,0,2,3,0,0,0,1,5,12,1
341,T-KT,Sawano Hiroyuki,2,0,3,0,0,0,0,2,5,2,2
342,Empty,카더가든,5,0,5,1,0,0,0,9,6,9,7
343,슬픈 끝맺음,"남혜승, 박상희",9,0,1,0,0,0,0,3,5,0,0
344,Don't Bring Me Down,일레인,6,0,1,0,0,0,1,1,5,9,1
345,Castle,Halsey,0,0,0,0,0,0,0,1,5,6,2
346,Lullaby,너드커넥션 (Nerd Connection),3,3,5,3,5,0,0,8,5,6,1
347,빨간 하늘,임승범,2,0,2,0,2,0,0,2,7,1,4
348,The Love,호피폴라,4,0,1,2,0,0,3,1,5,0,1
349,Somewhere,오존 (O3ohn),1,2,1,0,3,4,0,1,5,7,0
350,Set Me Free,가인,2,3,1,0,3,0,0,4,5,9,2
351,IDK,MOSSS,0,0,1,0,2,0,0,7,5,15,2
352,Lost Time,"개미, 박정환",1,0,4,0,1,0,0,3,5,8,1
353,RescuE,윤하 (YOUNHA),5,0,4,0,0,0,1,17,5,4,4
354,Michael's Sword,오혜주,3,0,2,4,0,0,0,10,5,4,2
355,LUCA,젬마(JEMMA),0,0,0,0,0,0,0,0,11,7,4
356,The First Day,락다이아몬드,0,0,6,1,1,0,0,3,5,7,1
357,Body Talk,Red Velvet (레드벨벳),0,0,3,4,0,0,0,0,5,0,0
358,We all lie (Slow Ver.),하진 (HAJIN),3,0,3,0,0,1,0,3,6,1,4
359,Dark Sun,개미,2,0,3,0,0,0,0,3,6,3,0
