노래,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
"('Pandora', 'Red Velvet (레드벨벳)')",,,,,,,,,5,,
"('자각몽 (Lucid Dream)', '비비 (BIBI)')",,,,,,,,,5,,
"('다시 웃을 수 있을까', 'Halsey')",,,,,,,,,5,,
"('불꽃', '김예림 (Lim Kim)')",,,,,,,,,5,,
"('시간', '락다이아몬드')",,,,,,,,,5,,
"('Lost Family', 'Asteria')",,,,,,,,,5,,
"('자각몽', 'Sondia')",,,,,,,,,5,,
"('목소리', '김민승')",,,,,,,,,5,,
"('Pray', '초아')",,,,,,,,,5,,
"('괴물, 누구인가', '가호 (Gaho)')",,,,,,,,,5,,
"('Poker Face', '하근영')",,,,,,,,,5,,
"('낮은 목소리', '조은정')",,,,,,,,,5,,
"('봄눈', '펜타곤')",,,,,,,,,,5,
"('첫 데이트', '스윗소로우 (SWEET SORROW)')",,,,,,,,,,5,
"('벚꽃 엔딩', '버스커 버스커')",,,,,,,,,,5,
"('봄 사랑 벚꽃 말고', 'HIGH4 (하이포)')",,,,,,,,,,5,
"('우연히 봄', '아이유')",,,,,,,,,,5,
"('봄날, 벚꽃 그리고 너', '로꼬')",,,,,,,,,,5,
"('봄인가 봐 (Spring Love)', '유주 (YUJU)')",,,,,,,,,,5,
"('One More Time, One More Chance (초속5센티미터 OST 2007)', '에피톤 프로젝트')",,,,,,,,,,5,
"('봄바람 (Feat. 나얼)', '에릭남 (Eric Nam)')",,,,,,,,,,5,
"('너는 나의 봄이다', '웬디 (WENDY)')",,,,,,,,,,5,
"('Love Blossom (러브블러썸)', '이문세')",,,,,,,,,,5,
"('봄 타나봐 (BOMTANABA)', '성시경')",,,,,,,,,,5,
"('너에게만 반응해 (Feat. 이소은)', '케이윌')",,,,,,,,,,5,
"('두근두근', '서인국')",,,,,,,,,,5,
"('벚꽃이 내린다', '이승환')",,,,,,,,,,5,
"('봄날의 기억', '써니힐')",,,,,,,,,,5,
"('봄이 오면 (Piano ver.)', '소란 (SORAN)')",,,,,,,,,,5,
"('벚꽃이 지면', '비투비')",,,,,,,,,,5,
"('장난 아닌데', '김윤아')",,,,,,,,,,5,
"('봄이 좋냐??', '아이오아이 (I.O.I)')",,,,,,,,,,5,
