,노래,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
118,SMILEY (Feat. BIBI),YENA (최예나),6,0,9,1,0,0,2,4,3,4,0
119,HANA,XIA (준수),0,0,6,1,2,0,0,4,1,2,4
120,꿀 (HONEY),솔라 (마마무),0,0,7,1,0,2,0,2,0,1,0
121,WHO,문빈&산하(ASTRO),1,0,6,0,0,0,0,0,0,1,1
122,Step Back,GOT the beat,4,1,10,4,0,1,0,3,0,2,0
123,BORN TO LOVE YOU,강승윤,3,0,5,0,0,1,0,0,4,0,0
124,MAKE U DANCE (feat. 은하 of VIVIZ),ADORA,1,0,7,0,0,0,0,0,0,0,0
125,노래 (The Song),비투비,1,0,10,1,0,0,0,2,0,5,0
126,Dilemma,Apink (에이핑크),0,0,5,0,0,1,0,1,5,6,1
127,"1, 2, 3",AB6IX (에이비식스),0,0,6,1,0,2,0,3,0,5,0
128,Dreams Come True,aespa,1,0,5,0,0,0,0,1,0,3,0
129,Chronograph,VICTON (빅톤),6,0,6,0,0,0,0,5,0,0,3
130,놀이(Play),유주 (YUJU),3,0,5,0,0,0,0,3,0,5,0
131,"안녕, 잘 가",원필 (DAY6),5,0,7,1,0,0,0,1,1,9,0
132,SCIENTIST,TWICE (트와이스),1,0,6,3,0,0,0,2,0,2,0
133,Don't Stop,ATEEZ (에이티즈),2,0,5,1,0,0,2,2,0,0,0
134,LUNATIC,문별 (마마무),5,0,7,1,0,0,0,2,1,4,0
135,Can't Control Myself,태연 (TAEYEON),2,2,7,2,0,2,0,0,1,3,0
136,Villain,DRIPPIN (드리핀),1,0,5,0,6,0,0,2,0,0,0
137,숨 좀 쉬자,진진&라키(ASTRO),8,2,11,2,0,0,2,2,1,3,0
138,Alive,캐스커,0,0,0,5,0,0,0,0,0,0,0
139,Save me,leeSA (리싸),6,0,2,6,2,0,0,6,0,1,1
140,소나기,우효,5,0,1,5,0,0,0,1,0,4,1
141,(Bonus) What Are You Seeing? (Performance in film),선우정아,0,0,0,5,12,0,0,4,0,0,0
142,Teardrop,Massive Attack,0,0,0,5,0,0,0,0,0,0,0
143,안개,보아 (BoA),2,0,0,5,0,0,0,0,0,0,1
144,Nobody Knows,김윤아,4,0,0,5,2,0,0,0,0,0,3
145,꽃이 지다  (Feat. 조원선),정재형,6,0,0,5,0,0,0,2,1,1,0
146,목소리,김윤아,0,0,0,5,0,0,0,1,0,0,0
147,숨결,Mad Soul Child,1,1,0,5,0,1,0,0,0,0,0
148,그렇습니까,흐른,0,1,0,5,0,0,0,1,0,0,0
149,Moonlight,이바다,5,0,0,6,0,0,0,4,0,2,0
150,Kiss or Kill,가인,2,0,0,5,0,0,0,0,0,0,0
151,천 개의 태양,캐스커,1,0,0,5,0,0,0,1,0,3,2
152,Butterfly,최정인,0,0,0,5,0,0,0,0,0,0,0
153,I Can't Never Stop,이바다,0,0,0,5,0,0,0,0,0,1,0
154,멈춰버린 밤 (Still Ist Die Nacht),엘리케이 (Elli K),0,0,0,5,0,0,0,0,0,0,0
155,별빛속으로 (Feat. 박지윤),김C,0,0,2,5,0,0,0,6,0,7,0
156,Theme Intro,방준석,0,0,0,5,0,0,0,0,0,0,0
157,잡아줘,이바다,5,0,0,5,2,0,0,0,0,0,2
158,빨간구두,정중한,0,0,0,5,0,0,0,0,0,0,0
159,Curse of Girl,박정현,0,0,0,5,0,0,0,0,0,0,0
160,나비,혜림,0,0,0,5,0,0,0,1,0,0,1
161,유리,김윤아,3,1,2,5,1,0,0,3,2,1,0
162,Kim Ju Young,박정은,0,0,0,5,0,0,0,0,0,0,0
163,길,김윤아,2,0,0,6,1,0,0,0,1,0,0
164,Theme Tango Bandoneon Final,방준석,0,0,0,5,0,0,0,0,0,0,0
165,그림자,진실,4,0,0,5,0,1,0,0,3,0,0
166,I Am,잉키,1,0,0,6,1,0,0,2,5,0,0
167,주어진 단서,정중한,0,0,0,5,0,0,0,0,0,0,0
168,I Can't Get You Off My Mind,Miss Li,0,0,0,5,0,0,0,0,0,0,0
169,Chase,난아진,2,0,2,7,0,0,0,0,2,0,3
170,자각몽 (Feat. 올티),김윤아,4,1,1,7,0,1,0,2,0,7,1
171,Endless Night,"김태성, 최정인",0,0,0,5,0,0,0,0,0,0,0
172,세상 밖으로,잉키,1,1,0,6,3,0,0,0,0,0,2
173,City Of Time (Feat. 영지),마리오,17,0,1,5,2,1,0,1,1,5,0
174,It Could Be You (Feat. 일레인),정중한,0,0,0,5,0,0,0,0,0,0,0
175,Dear,Mad Soul Child,5,2,0,5,0,0,0,4,0,0,0
176,DAYS and MOONS,Elsa Kopf,0,0,0,5,0,0,0,0,0,0,0
177,Rush,에브리 싱글 데이,1,1,0,5,0,0,0,0,0,1,0
178,떠나야 할 그 사람,잉키,4,0,0,7,0,0,0,3,0,0,0
179,시린꽃 (Original Ver.),Booth,1,0,0,5,0,0,0,0,0,0,0
180,Was Justice Delivered,노형우,0,0,0,5,0,0,0,0,0,0,0
181,아무도 믿지 말 것,정중한,0,0,0,5,0,0,0,0,0,0,0
182,STAY,Steelheart,0,0,0,5,0,0,0,0,0,0,0
183,eclipse (이클립스),Patrick Joseph,0,0,0,5,0,0,0,0,0,0,0
184,This Is The Beginning,Marco Beltrami,0,0,0,5,0,0,0,0,0,0,0
185,Superbad (11:34),Travie McCoy,0,0,0,5,0,0,0,0,0,0,0
186,비극 3 (진실),Various Artists,0,0,0,5,0,0,0,0,0,0,0
187,돌이킬 수 없는 걸음,이병우,0,0,0,5,0,0,0,0,0,0,0
188,어느 날 (Duet With 김윤아),이적,1,0,0,0,5,0,0,1,0,7,0
189,Ovum,레이니 썬,0,0,0,0,5,0,0,0,0,0,0
190,이상한 얘기 (Daytripper),하키,2,0,2,0,6,0,0,0,0,0,0
191,New 욕,자우림,0,0,0,0,5,0,0,0,0,0,0
192,우린 결국 그렇게 (Feat. Seori),기리보이,6,1,2,1,6,0,0,3,2,5,1
193,버려진 것들,스웨덴세탁소,1,0,1,0,5,0,0,0,0,0,0
194,길 잃은 강아지,아이유,1,0,0,2,5,0,0,0,0,3,0
195,전 여자친구에게 (Feat. 선우정아),San E,7,3,6,3,14,5,0,0,1,8,2
196,행복합니다 (Feat. 김종완 Of Nell),에픽하이 (EPIK HIGH),4,0,0,1,5,2,0,5,0,2,0
197,요단강,네스티요나,1,0,0,0,5,0,0,0,0,0,2
198,Plastic Flower (상사병),박정현,9,0,1,0,7,2,0,4,2,5,3
199,탈진,황보령,11,0,0,0,5,0,0,6,0,0,0
200,잔혹동화,아이유,1,0,1,0,5,0,0,0,0,2,0
201,괴물,PPCX (피터팬컴플렉스),0,1,2,1,7,0,0,0,0,0,1
202,늪,조관우,5,0,0,1,5,0,0,3,0,2,2
203,암실,쏜애플 (THORNAPPLE),2,1,0,0,6,0,0,0,0,0,2
204,뱀,키치레코드,2,1,0,0,6,0,0,6,1,2,2
205,Act 5,넬 (NELL),0,0,0,0,5,0,0,3,0,0,1
206,교실이데아,서태지,0,0,5,0,5,0,0,6,0,0,0
207,령혼,양파,3,0,0,0,6,0,0,0,0,3,3
208,오르골 (Orgel),SHINee (샤이니),3,0,1,0,5,0,0,0,0,2,1
209,새,자우림,11,0,0,0,5,0,0,2,1,0,2
210,Paradise Lost,가인,0,0,6,0,8,1,0,0,0,2,0
211,하비샴의 왈츠 (Miss Havishams Waltz),박정현,0,0,1,0,5,0,1,0,0,0,0
212,Dracula,f(x),1,0,1,0,5,0,0,0,0,0,2
213,미친거니 (Feat. 방용국),송지은,4,0,1,1,7,0,0,3,1,10,3
214,낙화(落花),자우림,0,0,0,0,6,1,0,0,0,0,1
215,피해망상 Pt. 1 (Feat. Junggigo),에픽하이 (EPIK HIGH),0,0,1,1,7,0,2,3,0,3,8
216,음탕한 계집,정차식,1,0,0,2,5,0,0,4,0,0,1
217,저주인형,VIXX (빅스),5,2,2,1,7,0,0,0,2,1,0
218,미궁,황병기,0,1,1,0,5,0,0,0,0,0,0
219,The Movement II,CB Mass,3,2,2,3,2,10,0,4,0,3,13
220,이력서,다이나믹 듀오,1,3,7,1,5,6,1,6,3,3,1
221,형이 들려주는 이야기 (더러운 힙합씬) (Feat.Koonta),데프콘,7,1,3,1,0,8,0,3,0,1,0
222,K.O.,"Hiphopmind, 레드 페이스, 나쑈, 3rd Rhymer",0,0,0,0,0,5,0,0,0,0,0
223,Do What I Do,버벌진트,2,1,8,2,0,6,0,3,0,0,1
224,진표생각2 - 랩퍼라면...Etc,김진표,2,1,0,0,0,5,1,2,0,0,1
225,진표생각 1,김진표,0,26,3,0,0,5,0,1,1,2,1
226,Throw Your Hands Up (너의 기준),유승준,0,1,3,0,0,5,0,6,0,0,1
227,Hip Hop,거리의 시인들,3,3,24,0,0,14,0,6,0,18,9
228,You,TBNY,6,3,1,1,1,8,1,1,6,2,1
229,나쁜X (BAD YEAR),San E,15,14,6,1,1,8,2,0,0,0,1
230,앰뷸런스,수퍼비 (SUPERBEE),2,0,1,1,1,6,0,3,2,1,0
231,100 (Feat. 천재노창),블랙넛 (Black Nut),1,0,4,0,1,5,0,4,0,0,2
232,Higher Than E-Sens,블랙넛 (Black Nut),2,2,2,3,0,7,0,10,1,4,1
233,빈지노,블랙넛 (Black Nut),0,0,1,0,0,5,0,4,0,3,0
234,배치기,블랙넛 (Black Nut),1,2,4,1,0,6,0,2,0,2,1
235,What!!,윤희중,4,5,3,1,0,11,0,6,1,1,7
236,"차렷! (Feat. 다이나믹 듀오, Tablo)",TBNY,0,4,13,0,0,12,1,4,2,0,4
237,In the whale,온유 (ONEW),1,0,0,0,1,0,5,1,0,0,1
238,"시계초침 (Feat. BRWN, Huiii)",SUDI,6,1,0,0,0,0,6,1,0,1,1
239,So Long (Feat. I'll),THAMA,1,0,2,0,0,0,6,2,0,0,1
240,흔적기관 (痕跡器管),"김뮤지엄 (KIMMUSEUM), JEMN",7,3,3,3,0,3,5,4,0,9,2
241,친구 사이,DOKO (도코),0,0,1,0,0,3,5,1,0,7,2
242,PILLOW,Wynn (윈),0,0,0,0,0,1,5,0,0,0,0
243,Love Phobia,온유 (ONEW),5,0,0,0,4,0,5,0,0,6,0
244,그걸로도 충분해요 (Feat. 수안),San E,4,0,0,2,0,0,5,0,0,1,1
245,Yesterday,초아,6,1,1,1,0,1,5,0,2,1,0
246,MDA,hamzzi,2,0,0,0,0,0,5,1,0,1,0
247,home alone type.,Mood.,5,0,0,0,0,0,5,0,0,0,0
248,Answer,homezone,2,0,1,1,0,0,5,0,0,0,0
249,북극성 (Never Goodbye),NCT DREAM,4,0,1,3,0,0,5,0,0,0,0
